txkey,locdt,loctm,chid,cano,contp,etymd,mchno,acqic,mcc,conam,ecfg,insfg,iterm,bnsfg,flam1,stocn,scity,stscd,ovrlt,flbmk,hcefg,csmcu,csmam,flg_3dsmk,label
b734f1d9c29c8724f7fa9e14127ce19ad4fe0246055cc44441bfc91cec87e07a,57,202907,a9b435bf0021d2ff123a91a69b5085f59612a47c13607459ad1f443beba8eaea,ef3281f5867e90fd13e8a84903c1918bde7ab9dbd2ab58a6c57747f8c52f07b1,5,5.0,c2f959592b9f6b1ea8fbe12e9a4a1ac0fd0b2543dd3fe3720e28a70eb6438d7b,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,275.0,674.0,1,0,0.0,0,677,0.0,16115.0,,0,0,6.0,70.0,677,0,0
d3f6a3abc642f90d91562f91933486d5ec3a09416117d140e8a14684fb31fdc8,58,173408,b7e5d0148a00e8bc7414929de3ac81168b5881274079119172acdd8605230db0,8d748fa2aea34ebb3f6bb52626f05cb8c55920320156d39b144f69fbe1e18b01,5,4.0,67a051e979e755d62e14a2d0d1ab9d4f6d7acccbc56a6d1509ee63cfdd50e220,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,272.0,1262.0,0,0,0.0,0,1266,0.0,11380.0,,0,0,6.0,70.0,1266,0,0
20eea5b22fc76d0c1a802b0b43e37135121c19ba3235fa7c8f9e89f2968a8653,57,23759,db8c93f88392666a9a3cfb41c7216da4a9f9878feb581d73a8069e537f807a8b,30bdaf2e1f908427be8afd8dff3ec14d82257af46548b056d705ce0e150386a8,5,5.0,94560e23e29f12be9c8ac5e0f6bce1c60ae0c9de0b1c1a98b6ccf27b9d559a0f,91074a565c3d5f7618847dd13b9bc60a4dd657707463a9a931d1fd3a17bce798,272.0,3024.0,1,0,0.0,0,3027,42.0,12381.0,,0,0,6.0,70.0,3027,0,0
72ecbb06661cd74ae4f26828feef5e2ad5da884cbce8518406f6175982e1235f,56,113358,4528a6ed0e816b6cda279c63b45046a12dc1100840c13f5076d86f623b6c2d4d,953dbf94f055c2aaa9538a76135127950229d66e2be6bf69c08dc0c749304bfb,5,5.0,75a558c50ce3a8bae9173f3926da060c9fad1f6e2ce1995737f5ae1f4be536a7,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276.0,820.0,1,0,0.0,0,819,0.0,15759.0,,0,0,6.0,70.0,819,0,0
6123106d4e8e712ec4cc8dcb483a92607c72e939bcd77b8977066765c90c6023,59,135826,9323a3fb5c6c3fe76ac8fb14d62aa58d78e128a5888296253e65641b4feaaf5e,115c349b730ea5e839a5f44df823e9292826b9a74dc7f9a1b4adf2559df76b2f,5,4.0,fb9091fc7297141edf67333eed03596f1c9dfd5500dbc5695330d5e42ecc854a,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,288.0,1614.0,0,0,0.0,0,1620,0.0,15759.0,,0,0,6.0,70.0,1620,0,0
ef2c65df2af8f32abb4abb00e918c520b65eb80171017406a14386e004feff9c,59,185951,7fef22d51346f07c59a67f343d1ec514442fd746a04016444f771bed82f4442a,9922e01947dc607b7023a393d26ba970c10a2dd62acc7d2a57bbd5ab779ec5b0,5,4.0,aa7a35a680ea1838e29b77865403be3bd69bdf94b7b1a3802f2012bf14922d4e,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,322.0,398.0,0,0,0.0,0,398,0.0,10881.0,,0,0,0.0,70.0,398,0,0
6b7ab417a0b894a817495272c67f6a1dd0b028a5ca9069e00aa6941cd59fc17b,57,184735,af9ffab4e997316e31d20088fcc55383dfc117764e91d8947bebd445d5f05205,31047d28ee33d219bdb83548f7852591be5a3bc2d77a0a493b61e609898c220b,5,5.0,6a87493ed87390f089a6283d0171e7e52798b7403d788eec929358abcd4d99dd,f2c487098d95cf4d74628e9a2a1cffc7beee347c46e19f9f241cebbd8370168d,323.0,0.0,1,0,0.0,0,0,54.0,9767.0,,0,0,6.0,70.0,0,0,0
9a03d05a90b2ce1f98c5d70cec2f10c96e8486935bc6060c45ad02b5facb8ad8,57,144544,e46db922fca837b3d01089f074afcd94ebb6308cdf3190184be5d6b9c91527c6,a1e5cd8f7a02373ade9083ca3472e4ae0d2c0c3aaa6e2e1b5a76b9f69cccee5c,5,4.0,1164e907a0ac2db62dce7facd62e92f65ce796640b4a514bd209ea2aeff75557,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,462.0,4680.0,0,0,0.0,0,4658,0.0,15759.0,,0,0,6.0,70.0,4658,0,0
9303820eb8435236bfaf10d8c3880a78a13ba5c9717152f0b05c825e56e095e7,58,103245,0151d352a6e89098b030ee9454a21a72140615d47ae6214213f24ac5a1148d3f,a67ef19ae893b046b5ee64ce6832c1265202fbd582baebde233bbcc7f6312223,5,4.0,2e7d9b42d9eb31bd0b4818fddb40abd5d7668d44997e66fb4d3fd18060944708,3abcd39528c76efe12f7861c68bba7a8ede55f8a302cda28b2bc68d90e9be1cd,276.0,199.0,0,0,0.0,0,199,0.0,15759.0,,0,0,6.0,70.0,199,0,0
70d48b31a4bf8677f4d7b0d360765d23469477026244fdc4a50410ec8aa09fdb,56,90957,a5bb659ea2965ace6fae60a8e2cb71dc40f4a10f07e102e82cf3607b6ab10d29,9b9b01fcef69fab606b2124b167db511265ed2cbe31f557e78a9e983d186fa3e,5,5.0,0b6b7d76931061d6429fec3b3017c4b42da067c1c13d33f270cbecaba4df3e8c,bf40b8e9acd93d0973755d5349280830769003c7e57a20b3b17db5cd44c99efa,375.0,7894.0,1,0,0.0,0,7912,0.0,16117.0,,0,0,6.0,70.0,7912,0,0
7f609860ef0421112528d98786a94bd71fb98b56207370308bb81cc98ff8f5a5,57,211443,7467bab69ee874479eada24645fee7d76cc90617b725652204265b2d89d176d3,90d728bf9991fe3de127b42b8c765239875969a3d67408d1243c53b0b8b895e7,5,5.0,e8d98e44151198526e079fdcc7f44c1e16be6f1fc2fb96880288e14d650b3f14,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276.0,135.0,1,0,0.0,0,136,0.0,15759.0,,0,0,6.0,70.0,136,0,0
3cd6fe729c11b3755130eedc87e9cb84fb93d4d29053b6ec58a00f1135ff22e3,59,133538,1962a42c69550cb0f8c70e81e2e8a75712b6e95225d80dc13df168b8bad30bdc,0492470e45e86c95857a5dc510d199a6d67a56a743a4ebc9e026bbd7efc76f37,5,3.0,a78362b946bb766ab9462345244df8f780de727668be7bd574de451eeed94ede,fbc2f58e90154ed58009f60f85ef406c291d9b98df0efc8d531304fbcc13134c,275.0,8448.42,0,0,0.0,0,8461,61.0,11186.0,,0,0,6.0,29.0,38247,0,0
8172b5b1942a8e2e5185ace9b3bd340b1fce21457f35f9868e395770e8b86492,56,114939,1007d919b371765effa3c9986ba5b3af61ea9fe755f21762e7907d6a80f1e5b3,15befb097e87870722a19c9fee9a44d48949952c7284b3615b395f9574995306,5,5.0,48675480a5edda3511920982ec3ae71f242231c2a3badbb7ddbcdeab4d682d7b,60d5020e9b88125cfcbd99793e821331d6e0271897705b1441a6b5e3680d854f,320.0,491.0,1,0,0.0,0,493,0.0,5623.0,,0,0,6.0,70.0,493,0,0
fca6fe9b49d02ee5671f5c3dd67a5c7400f04c2ea2460d9d7be01dd7a24acdbf,56,154743,16e79549d2d2f091c01763d6aa8136dd47d85906c9d36ea019ee71de073ca501,3d1b06d7ce230a021143e563a1c744c765e223cb68da47646d5a4cea57bdf369,5,4.0,824a4bf4523ad28065983305c0058c7de2e4237f55ca7382369625efedae5b3b,2fea345d14a69774026f3de93f5e3313219363d54e07b193b931debcea240e72,272.0,1280.0,0,0,0.0,0,1275,0.0,11380.0,,0,0,6.0,70.0,1275,0,0
29c86e88e1f0de02c439beedfcff3c2c30ed3811d5ba00a8a1e600db388b5bc8,58,145537,6e7e740fe1da7109c0d06c06ee12a991b0707256373d70ec62c47e8b8e9dc26e,3e80a01a330112d212df7bd422f3d4b8e36517b2190f7f5ca467187f6348e7a4,5,1.0,9bdda6ec1187abc92c8fb878d399fe1cf5afd7a200bbb7a867393331171fe867,ec6ecd6f120c757bbddba5722c6129df995f4f1a2b500df22ddd02f64291c18b,413.0,0.0,1,0,0.0,0,0,42.0,17186.0,,0,0,6.0,70.0,0,0,0
