txkey,locdt,loctm,chid,cano,contp,etymd,mchno,acqic,mcc,conam,ecfg,insfg,iterm,bnsfg,flam1,stocn,scity,stscd,ovrlt,flbmk,hcefg,csmcu,csmam,flg_3dsmk,label
1c09727c939eb69ead2a4ce4072b8aa18992a64f01fcb49078db638402adbbd3,46,101812,84d2dc85d4da6a7fa284a11a4290d7e9a969163dcb4d821ea428ae19615075f3,3dd5bf1e29e5e0baa789ce692fe5dbd34ff05173acf3511b26c61eef8d0124ac,5,1,cad752c5d05d2bdcc30d64fa4e68404c2d1f7be5d14d525cd0f3976a42f77794,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,375,1524.0,0,0,0.0,0,1529,0,15759,,0,0,6,70,1529,0,0
2043f245a93bc6328dac964d6dbc89f13a0346062c194dceeb043f3d20481844,17,85509,9a8cf5d0afd729cb7876f6b3172152c7c9c6fabd40515c8c07b0bb2ac4f25fda,8cb13f9b38c7bbc02d210e580dcbbcbb6c95bf18bc3320c2b892930dc0df3aee,5,8,4356c6642ef6e837543b577c7ee3ffa92b4b8fcfb572547bb38f4c8157261d75,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,282,101.0,1,0,0.0,0,101,0,15759,,0,0,8,70,101,0,0
e4853710290a8409279f3279f8032ae670824bd19aa173dcaaa7d7b55671851a,44,212641,dcc1389a5765d6f53152cf85970fbe78a83fd3d1c299b08cffb95420d1c5c614,1ec32868e5e1d5ff8df56737c2a91326cbfe3364382de61445fbf1f312a2df91,5,4,5b7eff061f8896aac4339ea35c25f8bb956a43bc48646047f9b75306e75270fb,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,288,117.0,0,0,0.0,0,116,0,15759,,0,0,6,70,116,0,0
74d811b1dbc28b22b73ba2c79bb6033791d913b6d27a25d798147e8e7ba0bb6a,42,102702,577f2329d1eccd59ba0abaf6113bb78dcd575badcbc57fb1a629b11f6496a09f,4359dca1ac6a835eceb2bc0dd6b0b710f030c3499126e910c4ef4436486ef2a6,5,1,cad752c5d05d2bdcc30d64fa4e68404c2d1f7be5d14d525cd0f3976a42f77794,36684976be1f529e6e2a32c9edab4cf8e364b2b916ae2ceca8893db20c59af9e,375,1676.0,0,0,0.0,0,1683,0,15759,,0,0,6,70,1683,0,0
68ca182343969d429d79a34e532bc1ca7a3cc032c2ad81f76b497b96cc14b57c,31,185737,fff6b4126c40620b1fbb11d4de02cd67b9e95071caa40bf870fd43fc976ec6cf,a3837f2905383f235a72679482c5f02e40f2a8ca29750d3e048c435c8631169d,5,5,50d5b02ce3fc88723438c2a29cfdb04be4a1a11280ddb6de03127b1b05935dd5,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,406,14.0,1,0,0.0,0,14,0,15759,,0,0,6,70,14,0,0
83d723f6f8244514331b58cab058337cd7fb1e6ed0b0a2d9ce7db941aedabbd4,53,154344,7bccecefb9c0271fec1b07dcce8b64b8f24a8d45e16376d5cca9a2d943e722ef,84b40264cc97d2ce1014a4ad5ca15da3fd85cb0aaa0aeb9e8b11af3e34c23bcc,5,4,9447d4c28619ff5cba6dd79ab863fa6f365c1624fcf1838bf34e63c9d97ff817,13624921218432873e0cfa1966e41376844b387695a0eed0fdb59f26b01410dd,335,2780.0,0,0,0.0,0,2789,0,17014,,0,0,6,70,2789,0,0
c6e8e377fedaa2cd80dc77860e54b77c1fb082e7889955258f71d21e73be85bc,53,141651,ba6cbd06d4d43b3b6170c9bc29d0ab01d675db5b8b16d9e3f9fa9b3e02e3aee5,ceecd9e6204f6105e2d47cbb6c40359ec7eefaf743bf6c8661606517c19af0c8,5,8,de8ce15e75639cac3466907561cc112fa5e9519fff458250447f4dc51848eecb,bcf6370b700fb26d1fab05dad5de442b2bf37689cb55fd5fefcc78f2ebb16ec3,309,138.0,1,0,0.0,0,138,0,15759,,0,0,6,70,138,1,0
9c54630c1040e1a50c85d39fd2c7d55562e4c4d8d45fc7d35d080edf613292a7,31,102343,b30d2725ca2bc993f351edeb8a89fdf4df597ad8ca23ae9b84c320dc2e672b90,da18d6d5d3b4d9eafc40bc71468077b1188422ddb394aee24a033a1ec616d600,5,5,f266cbc5720f6f0114813a3bbabc61c07989ac24845e9794032008a6b1cbcbd8,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,320,30.0,1,0,0.0,0,30,0,16115,,0,0,6,70,30,0,0
d8a8219c4f167506b5e49be863b56bed464947881f7bb4f5e91ebf26d08f6eef,21,232815,71d423387298bd70d8b7c790b533ab35ffaaba589a4d36b320abb8c893758978,a2da56ef94c2fd1a845637a232ff6106a61e3e8df0f144a1884b17e77b61b451,5,8,4ef6971e3a32b67a04e1bb10d981306faf3c422e5cb467859862171d2f6a3a2e,bcf6370b700fb26d1fab05dad5de442b2bf37689cb55fd5fefcc78f2ebb16ec3,282,680.0,1,0,0.0,0,681,0,15759,,0,0,6,70,681,1,0
39908ae3c77e2fb8f204600b5d9e07ec0b688f4170b6b773e64d3146f4f110e3,31,113900,d98d0c5842c8c4d83c00fc04d20128e759760a81e22c1f4fb46c72fb1f425f75,5f8ca305864006b3db759363e944d01a8e7b0dc416683540e74956db7174ce2b,5,8,dd280b4f35a02701142ba7de47abb9736deca3eed86474b185ce1d9ee024e607,46f63555d29f177290dfe20e989146fb033e453f1d5ff3f27a7fd3741fb17484,320,250.0,1,0,0.0,0,250,0,13451,,0,0,6,70,250,0,0
